filename, T, r, c, g, a, t, avg, avg_ref, tp, tn, fp, fn, bacc, acc, precision, tp_rate/recall, fn_rate/miss rate, fp_rate/fall-out, tn_rate/specificity
2days_1sec_flow-based.tsv,-2.0,4,4,60,05,1,mean,mean,57060,172836,797,116573,0.662017012895,0.662017012895,0.986224657345,0.328624167065,0.671375832935,0.00459014127499,0.995409858725
2days_1sec_flow-based.tsv,-2.0,5,5,60,05,1,mean,mean,56828,172882,749,116803,0.661489019818,0.661489019818,0.986991333345,0.327291785453,0.672708214547,0.00431374581728,0.995686254183
2days_1sec_flow-based.tsv,-2.5,1,1,60,05,1,mean,mean,6429,172934,705,167210,0.516482472256,0.516482472256,0.90117746005,0.0370250922892,0.962974907711,0.00406014777786,0.995939852222
2days_1sec_flow-based.tsv,-2.5,2,2,60,05,1,mean,mean,5601,172928,709,168036,0.514086859368,0.514086859368,0.88763866878,0.0322569498436,0.967743050156,0.00408323110858,0.995916768891
2days_1sec_flow-based.tsv,-2.5,3,3,60,05,1,mean,mean,5405,173007,628,168230,0.513755867193,0.513755867193,0.895905851152,0.0311285167161,0.968871483284,0.00361678233075,0.996383217669
2days_1sec_flow-based.tsv,-2.5,4,4,60,05,1,mean,mean,5328,173069,564,168305,0.51371859036,0.51371859036,0.904276985743,0.0306854111834,0.969314588817,0.0032482304631,0.996751769537
2days_1sec_flow-based.tsv,-2.5,5,5,60,05,1,mean,mean,5271,173123,508,168360,0.51371586871,0.51371586871,0.912095518256,0.0303574822468,0.969642517753,0.00292574482667,0.997074255173
2days_1sec_flow-based.tsv,-3.0,1,1,60,05,1,mean,mean,1185,173022,617,172454,0.501635577261,0.501635577261,0.657602663707,0.00682450371172,0.993175496288,0.00355334918999,0.99644665081
2days_1sec_flow-based.tsv,-3.0,2,2,60,05,1,mean,mean,1202,173041,596,172435,0.501745019783,0.501745019783,0.66852057842,0.00692248771863,0.993077512281,0.00343244815333,0.996567551847
2days_1sec_flow-based.tsv,-3.0,3,3,60,05,1,mean,mean,1218,173175,460,172417,0.502182739655,0.502182739655,0.725864123957,0.00701471477525,0.992985285225,0.0026492354652,0.997350764535
2days_1sec_flow-based.tsv,-3.0,4,4,60,05,1,mean,mean,1202,173210,423,172431,0.502243237173,0.502243237173,0.739692307692,0.00692264719264,0.993077352807,0.00243617284733,0.997563827153
2days_1sec_flow-based.tsv,-3.0,5,5,60,05,1,mean,mean,1204,173267,364,172427,0.502418922888,0.502418922888,0.767857142857,0.00693424561282,0.993065754387,0.00209639983643,0.997903600164
2days_1sec_flow-based.tsv,-3.5,1,1,60,05,1,mean,mean,720,173099,540,172919,0.500518316738,0.500518316738,0.571428571429,0.00414653390079,0.995853466099,0.0031099004256,0.996890099574
2days_1sec_flow-based.tsv,-3.5,2,2,60,05,1,mean,mean,737,173157,480,172900,0.500740049644,0.500740049644,0.605587510271,0.00424448706209,0.995755512938,0.0027643877745,0.997235612226
2days_1sec_flow-based.tsv,-3.5,3,3,60,05,1,mean,mean,711,173255,380,172924,0.500953148847,0.500953148847,0.651695692026,0.00409479655599,0.995905203444,0.00218849886256,0.997811501137
2days_1sec_flow-based.tsv,-3.5,4,4,60,05,1,mean,mean,674,173320,313,172959,0.501039548934,0.501039548934,0.682877406282,0.00388175058889,0.996118249411,0.00180265272154,0.998197347278
2days_1sec_flow-based.tsv,-3.5,5,5,60,05,1,mean,mean,601,173355,276,173030,0.500935892784,0.500935892784,0.685290763968,0.0034613634662,0.996538636534,0.00158957789796,0.998410422102
2days_1sec_flow-based.tsv,-0.5,1,1,300,05,1,mean,mean,171678,152670,20729,1721,0.935264909256,0.935264909256,0.892264834439,0.990074913927,0.00992508607316,0.119545095416,0.880454904584
2days_1sec_flow-based.tsv,-0.5,2,2,300,05,1,mean,mean,171632,154577,18820,1765,0.94064199496,0.94064199496,0.901182450171,0.9898210465,0.0101789534998,0.108537056581,0.891462943419
